"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Pre-demographic dividend","PRE","CO2 emissions (kt)","EN.ATM.CO2E.KT","29368.2395862645","31327.2220049522","32675.826743712","35187.7680560831","38477.9993816314","56446.5693872093","67496.6997286034","59237.0439744325","57098.549430953","70998.7639635699","84500.3392694405","103687.180556757","115616.552557142","128082.410993523","142966.18399213","129259.700672512","149437.551626318","140656.311837153","140339.635815906","175911.667002565","170990.149072362","153602.772705779","151784.679783796","154031.216734524","164634.275045923","171310.550693859","171720.366721355","169138.52574813","199103.528558593","180006.101677276","184055.01534866","173295.782556971","203470.401434511","227648.414857924","236589.717935261","239965.516035888","250650.474588625","268117.441938117","227293.601243743","212290.054129844","225894.621850691","246737.38730081","247294.951551665","249108.306036436","261052.132503169","291494.200808963","290400.109834911","288769.103845816","308381.697602893","323101.273392684","362843.114977919","393254.791867768","415673.526363849","441800.768949695","461688.971381734","455631.650844057","472632.530486471","479921.506200142","513004.571870087","","",
"Puerto Rico","PRI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","CO2 emissions (kt)","EN.ATM.CO2E.KT","23817.165","26457.405","30722.126","32863.654","35657.908","44268.024","47648.998","52445.434","59328.393","64143.164","73552.686","107560.444","89599.478","97428.523","101718.913","107740.127","110189.683","113867.684","108451.525","110571.051","114439.736","114799.102","117344","125668.09","135220.625","144897.838","157504.984","176423.037","201908.687","214636.844","123370","117350","104700","96710","88760","83420","74010","67520","60940","66580","71820","74390","71200","72740","74320","77590","78940","65640","72830","55360","51620","37040","38500","27820","31420","25300","30090","22380","18120","","",
"Portugal","PRT","CO2 emissions (kt)","EN.ATM.CO2E.KT","8225.081","9090.493","9303.179","10025.578","11023.002","11598.721","11851.744","12409.128","13010.516","14612.995","15258.387","16406.158","18349.668","20003.485","20714.883","21356.608","22423.705","22728.066","22742.734","25030.942","26985.453","27227.475","29255.326","30179.41","29064.642","27407.158","30520.441","31536.2","32925.993","41209.746","41070","42770","46770","45790","47300","50690","48740","50930","55600","62210","61660","61380","65610","60520","62130","65470","60450","58800","56840","56300","50940","49870","48220","46560","45930","49850","48760","53330","49780","","",
"Paraguay","PRY","CO2 emissions (kt)","EN.ATM.CO2E.KT","304.361","363.033","392.369","410.704","432.706","550.05","513.38","487.711","590.387","520.714","744.401","634.391","715.065","869.079","953.42","839.743","1034.094","1158.772","1459.466","1331.121","1492.469","1389.793","1367.791","1415.462","1496.136","1551.141","1664.818","1892.172","2163.53","2244.204","2070","2020","2470","2820","3340","3780","3720","4110","4270","4270","3520","3620","3780","3940","3970","3700","3830","3950","4180","4370","5040","5220","5180","5300","5630","6370","7150","8000","8420","","",
"West Bank and Gaza","PSE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pacific island small states","PSS","CO2 emissions (kt)","EN.ATM.CO2E.KT","324.913025887949","349.160266625856","434.091142291605","455.163527839741","712.246631527002","623.718801619691","627.742793888205","720.29461606403","764.558531017686","836.99039185094","965.758144443393","1090.50190476733","1130.74182745247","1219.26965735978","1295.72551046155","1271.58155685047","1005.99806712853","1456.68520120212","1339.98942541521","1549.23702337794","1549.23702337794","1899.32435073867","1621.6688842112","1513.02109296132","1368.15737129481","1448.63721666509","1448.63721666509","1311.82147953561","1452.6612089336","1593.5009383316","1678.35820895522","1704.17910447761","1730","1750","1760","1810","1880","1880","1890","1930","2010","2270","2130","2340","2790","2720","2770","2660","2270","2340","2500","2480","2410","2570","2760","2950","3490","3590","3780","","",
"Post-demographic dividend","PST","CO2 emissions (kt)","EN.ATM.CO2E.KT","5936502.51707557","6053922.13556812","6327981.54145324","6679544.49766469","7015155.3014664","7322791.84694553","7650988.6470266","7989441.03949861","8412315.82692433","8928325.13280941","9699671.47778328","9854883.77950161","10335107.8038903","10853271.720965","10581732.7194735","10206919.5903427","10714948.3591301","10909461.1258177","11187579.9440889","11466011.0248514","11125412.9429753","10723415.1335355","10312888.0971921","10273516.2579392","10536802.6078764","10620207.9192872","10595338.4423062","10913150.2841071","11321959.8767487","11631706.4244901","11364605.3203623","11326352.5465214","11263510.1411007","11262986.9574501","11330296.5463493","11463124.8262668","11734063.5287285","11953881.1517884","11934141.0302009","12002889.3741395","12285891.4842379","12327987.6456661","12213873.2424829","12425018.0904112","12513335.5151283","12509502.188765","12396524.7038996","12527069.0859575","12186617.3865295","11397032.6454777","11856750.0948029","11601466.6569641","11390512.9722928","11455005.4184579","11206623.980318","11060907.2723915","10951803.3587856","10847669.6898607","10935463.9309272","","",
"French Polynesia","PYF","CO2 emissions (kt)","EN.ATM.CO2E.KT","36.67","58.672","47.671","66.006","66.006","84.341","121.011","139.346","154.014","161.348","194.351","227.354","216.353","209.019","216.353","212.686","264.024","275.025","311.695","282.359","293.36","330.03","337.364","421.705","458.375","586.72","605.055","608.722","572.052","542.716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","CO2 emissions (kt)","EN.ATM.CO2E.KT","176.016","161.348","190.684","6138.558","6274.237","6292.572","6277.904","6688.608","7080.977","7172.652","7568.688","9152.832","10784.647","12467.8","10487.62","10956.996","10384.944","9926.569","10531.624","14359.972","13098.524","12860.169","12354.123","11268.691","12332.121","12405.461","13296.542","11499.712","11928.751","14326.969","12540","14610","14680","15490","16250","17020","17910","19450","20810","22950","21730","23490","27600","28910","31910","41280","44980","51050","55230","57170","62270","65770","73290","74600","80400","83310","85280","87680","90170","","",
